striker,bowler,runs_scored,balls_faced,dismissals,strike_rate,average
A Athanaze,Aayan Afzal Khan,13,9,1,144.44444444444443,13.0
A Athanaze,Ali Naseer,5,6,0,83.33333333333334,
A Athanaze,HH Pandya,22,23,0,95.65217391304348,
A Athanaze,JD Unadkat,5,8,0,62.5,
A Athanaze,Junaid Siddique (2),23,16,0,143.75,
A Athanaze,Kuldeep Yadav,1,4,1,25.0,1.0
A Athanaze,Muhammad Jawadullah,12,6,0,200.0,
A Athanaze,Mukesh Kumar,5,19,1,26.31578947368421,5.0
A Athanaze,RA Jadeja,7,6,0,116.66666666666667,
A Athanaze,Rohan Mustafa,12,11,0,109.09090909090908,
A Athanaze,SN Thakur,17,19,1,89.47368421052632,17.0
A Athanaze,Umran Malik,3,1,0,300.0,
A Bagai,A van der Merwe,11,11,0,100.0,
A Bagai,AA Donald,6,11,0,54.54545454545454,
A Bagai,AC Botha,21,8,0,262.5,
A Bagai,AJ Hall,10,12,0,83.33333333333334,
A Bagai,AO Suji,8,6,0,133.33333333333331,
A Bagai,AR White,13,26,0,50.0,
A Bagai,Abdul Razzaq,5,6,0,83.33333333333334,
A Bagai,Alok Kapali,3,10,1,30.0,3.0
A Bagai,B Lee,4,6,0,66.66666666666666,
A Bagai,BAW Mendis,1,1,0,100.0,
A Bagai,CH Gayle,1,3,0,33.33333333333333,
A Bagai,CM Wright,10,25,0,40.0,
A Bagai,CO Obuya,4,5,0,80.0,
A Bagai,CRD Fernando,3,8,1,37.5,3.0
A Bagai,CS MacLeod,21,33,1,63.63636363636363,21.0
A Bagai,CZ Harris,1,1,0,100.0,
A Bagai,DL Hemp,14,22,0,63.63636363636363,
A Bagai,DL Vettori,17,21,1,80.95238095238095,17.0
A Bagai,DT Johnston,5,14,1,35.714285714285715,5.0
A Bagai,E Otieno,15,10,0,150.0,
A Bagai,GH Dockrell,16,46,0,34.78260869565217,
A Bagai,GH O'Brien,4,5,0,80.0,
A Bagai,H Durham,7,12,0,58.333333333333336,
A Bagai,IH Romaine,6,5,0,120.0,
A Bagai,JAR Blain,7,14,0,50.0,
A Bagai,JD Nel,9,11,0,81.81818181818183,
A Bagai,JD Ryder,8,2,0,400.0,
A Bagai,JDP Oram,8,35,1,22.857142857142858,8.0
A Bagai,JEC Franklin,12,8,0,150.0,
A Bagai,JH Stander,20,24,0,83.33333333333334,
A Bagai,JJ Krejza,9,14,0,64.28571428571429,
A Bagai,JJ Tucker,9,22,0,40.909090909090914,
A Bagai,JK Kamande,9,15,0,60.0,
A Bagai,JM Anderson,5,5,0,100.0,
A Bagai,JO Ngoche,9,33,0,27.27272727272727,
A Bagai,JS Patel,9,20,0,45.0,
A Bagai,KAD Hurdle,1,3,1,33.33333333333333,1.0
A Bagai,KD Mills,0,1,0,0.0,
A Bagai,KJ O'Brien,11,14,0,78.57142857142857,
A Bagai,KMDN Kulasekara,1,2,0,50.0,
A Bagai,KS Williamson,10,8,0,125.0,
A Bagai,LE Plunkett,1,6,1,16.666666666666664,1.0
A Bagai,M Muralitharan,8,22,0,36.36363636363637,
A Bagai,M Ntini,1,1,0,100.0,
A Bagai,M Zondeki,7,6,0,116.66666666666667,
A Bagai,MBS Jonkman,10,10,0,100.0,
A Bagai,MG Johnson,6,10,0,60.0,
A Bagai,MJ Mason,1,4,0,25.0,
A Bagai,MO Odumbe,4,5,0,80.0,
A Bagai,MR Swart,0,3,0,0.0,
A Bagai,Mashrafe Mortaza,2,11,1,18.181818181818183,2.0
A Bagai,Mudassar Bukhari,1,10,0,10.0,
A Bagai,NG Jones,7,7,0,100.0,
A Bagai,NL McCullum,26,21,1,123.80952380952381,26.0
A Bagai,NLTC Perera,5,10,1,50.0,5.0
A Bagai,NN Odhiambo,14,17,0,82.35294117647058,
A Bagai,PJ Ongondo,4,4,1,100.0,4.0
A Bagai,PR Stirling,1,3,1,33.33333333333333,1.0
A Bagai,RAP Nissanka,0,4,0,0.0,
A Bagai,RD Steede,0,12,0,0.0,
A Bagai,RDM Leverock,25,48,1,52.083333333333336,25.0
A Bagai,RN ten Doeschate,6,12,0,50.0,
A Bagai,RR Watson,20,18,0,111.11111111111111,
A Bagai,RW Price,0,1,1,0.0,0.0
A Bagai,S Mukuddem,17,15,1,113.33333333333333,17.0
A Bagai,SB Styris,30,31,0,96.7741935483871,
A Bagai,SKW Kelly,4,6,0,66.66666666666666,
A Bagai,SM Pollock,4,7,0,57.14285714285714,
A Bagai,SO Tikolo,13,19,0,68.42105263157895,
A Bagai,SR Watson,13,14,0,92.85714285714286,
A Bagai,SW Tait,7,13,1,53.84615384615385,7.0
A Bagai,Sanwar Hossain,2,4,0,50.0,
A Bagai,Shahid Afridi,3,8,1,37.5,3.0
A Bagai,T van der Gugten,2,4,1,50.0,2.0
A Bagai,TBM de Leede,5,14,1,35.714285714285715,5.0
A Bagai,TG Southee,0,3,0,0.0,
A Bagai,TM Dilshan,7,16,0,43.75,
A Bagai,TM Odoyo,1,5,1,20.0,1.0
A Bagai,TT Samaraweera,2,7,0,28.57142857142857,
A Bagai,Umar Gul,2,12,0,16.666666666666664,
A Bagai,VC Drakes,1,6,1,16.666666666666664,1.0
A Bagai,WF Stelling,2,15,0,13.333333333333334,
A Bagai,WPUJC Vaas,1,4,0,25.0,
A Bagai,Wahab Riaz,6,9,0,66.66666666666666,
A Balbirnie,A Nortje,26,27,0,96.29629629629629,
A Balbirnie,A Vala,0,7,0,0.0,
A Balbirnie,AA Paradkar,10,9,0,111.11111111111111,
A Balbirnie,AC Evans,34,51,0,66.66666666666666,
A Balbirnie,AD Russell,1,3,0,33.33333333333333,
A Balbirnie,AJ Hosein,18,27,0,66.66666666666666,
A Balbirnie,AL Phehlukwayo,45,34,0,132.35294117647058,
A Balbirnie,AR Nurse,19,19,0,100.0,
A Balbirnie,AS Joseph,30,41,1,73.17073170731707,30.0
A Balbirnie,AU Rashid,29,34,1,85.29411764705883,29.0
A Balbirnie,Aayan Afzal Khan,25,27,0,92.5925925925926,
A Balbirnie,Abu Jayed,19,18,1,105.55555555555556,19.0
A Balbirnie,Aftab Alam,41,66,1,62.121212121212125,41.0
A Balbirnie,Ahmed Raza,48,65,1,73.84615384615385,48.0
A Balbirnie,Ali Naseer,3,14,1,21.428571428571427,3.0
A Balbirnie,Amir Hamza,26,31,0,83.87096774193549,
A Balbirnie,Ashfaq Ahmed,7,7,0,100.0,
A Balbirnie,B Evans,25,37,1,67.56756756756756,25.0
A Balbirnie,B Muzarabani,2,11,0,18.181818181818183,
A Balbirnie,BD Glover,17,27,0,62.96296296296296,
A Balbirnie,BJ McMullen,0,1,1,0.0,0.0
A Balbirnie,BTJ Wheal,13,25,0,52.0,
A Balbirnie,C Munro,8,8,0,100.0,
A Balbirnie,CA Soper,1,7,1,14.285714285714285,1.0
A Balbirnie,CAK Rajitha,0,2,0,0.0,
A Balbirnie,CB Sole,18,27,0,66.66666666666666,
A Balbirnie,CBRLS Kumara,11,7,0,157.14285714285714,
A Balbirnie,CJ Anderson,0,5,1,0.0,0.0
A Balbirnie,CJ Chibhabha,3,10,0,30.0,
A Balbirnie,CJA Amini,2,3,0,66.66666666666666,
A Balbirnie,CK Hooper,3,9,0,33.33333333333333,
A Balbirnie,CS MacLeod,5,7,0,71.42857142857143,
