Match ID,0-10 Team 1 Runs,0-10 Team 1 Wickets,10-20 Team 1 Runs,10-20 Team 1 Wickets,20-30 Team 1 Runs,20-30 Team 1 Wickets,30-40 Team 1 Runs,30-40 Team 1 Wickets,40-50 Team 1 Runs,40-50 Team 1 Wickets,0-10 Team 2 Runs,0-10 Team 2 Wickets,10-20 Team 2 Runs,10-20 Team 2 Wickets,20-30 Team 2 Runs,20-30 Team 2 Wickets,30-40 Team 2 Runs,30-40 Team 2 Wickets,40-50 Team 2 Runs,40-50 Team 2 Wickets,0-10 Team 1 RunRate,0-10 Team 1 Avg,10-20 Team 1 RunRate,10-20 Team 1 Avg,20-30 Team 1 RunRate,20-30 Team 1 Avg,30-40 Team 1 RunRate,30-40 Team 1 Avg,40-50 Team 1 RunRate,40-50 Team 1 Avg,0-10 Team 2 RunRate,0-10 Team 2 Avg,10-20 Team 2 RunRate,10-20 Team 2 Avg,20-30 Team 2 RunRate,20-30 Team 2 Avg,30-40 Team 2 RunRate,30-40 Team 2 Avg,40-50 Team 2 RunRate,40-50 Team 2 Avg,Team 1 Total Runs,Team 1 Total Wickets,Team 1 Match RunRate,Team 1 Match Average,Team 2 Total Runs,Team 2 Total Wickets,Team 2 Match RunRate,Team 2 Match Average
64814,40,1,30,0,48,0,55,2,53,6,36,1,37,1,48,2,66,3,15,3,4.0,40.0,3.0,30.0,4.8,48.0,5.5,27.5,5.3,8.83,3.6,36.0,3.7,37.0,4.8,24.0,6.6,22.0,1.5,5.0,226,9,4.52,25.11,202,10,4.04,20.2
64815,12,2,20,1,33,2,15,4,6,1,34,2,35,1,24,2,0,0,0,0,1.2,6.0,2.0,20.0,3.3,16.5,1.5,3.75,0.6,6.0,3.4,17.0,3.5,35.0,2.4,12.0,0.0,0.0,0.0,0.0,86,10,1.72,8.6,93,5,1.86,18.6
64816,33,0,22,4,23,2,23,3,3,1,42,1,44,1,16,1,0,0,0,0,3.3,33.0,2.2,5.5,2.3,11.5,2.3,7.67,0.3,3.0,4.2,42.0,4.4,44.0,1.6,16.0,0.0,0.0,0.0,0.0,104,10,2.08,10.4,102,3,2.04,34.0
64817,31,3,34,2,44,1,35,2,4,2,44,3,23,1,30,3,40,0,9,1,3.1,10.33,3.4,17.0,4.4,44.0,3.5,17.5,0.4,2.0,4.4,14.67,2.3,23.0,3.0,10.0,4.0,40.0,0.9,9.0,148,10,2.96,14.8,146,8,2.92,18.25
64819,22,3,17,3,28,0,31,2,10,2,43,3,32,0,37,1,0,0,0,0,2.2,7.33,1.7,5.67,2.8,28.0,3.1,15.5,1.0,5.0,4.3,14.33,3.2,32.0,3.7,37.0,0.0,0.0,0.0,0.0,108,10,2.16,10.8,112,4,2.24,28.0
64820,40,2,44,0,45,1,40,2,82,0,33,0,58,2,48,3,61,3,0,0,4.0,20.0,4.4,44.0,4.5,45.0,4.0,20.0,8.2,82.0,3.3,33.0,5.8,29.0,4.8,16.0,6.1,20.33,0.0,0.0,251,5,5.02,50.2,200,8,4.0,25.0
64825,48,0,51,3,47,1,32,2,53,4,28,1,49,1,43,0,48,2,56,3,4.8,48.0,5.1,17.0,4.7,47.0,3.2,16.0,5.3,13.25,2.8,28.0,4.9,49.0,4.3,43.0,4.8,24.0,5.6,18.67,231,10,4.62,23.1,224,7,4.48,32.0
64826,21,2,46,0,49,1,38,2,78,3,43,0,52,0,54,1,53,0,36,0,2.1,10.5,4.6,46.0,4.9,49.0,3.8,19.0,7.8,26.0,4.3,43.0,5.2,52.0,5.4,54.0,5.3,53.0,3.6,36.0,232,8,4.64,29.0,238,1,4.76,238.0
64827,43,2,33,0,29,3,38,0,44,5,20,4,38,0,30,1,40,4,1,1,4.3,21.5,3.3,33.0,2.9,9.67,3.8,38.0,4.4,8.8,2.0,5.0,3.8,38.0,3.0,30.0,4.0,10.0,0.1,1.0,187,10,3.74,18.7,129,10,2.58,12.9
64829,29,2,31,1,28,1,39,2,48,4,36,1,24,1,50,2,30,0,0,0,2.9,14.5,3.1,31.0,2.8,28.0,3.9,19.5,4.8,12.0,3.6,36.0,2.4,24.0,5.0,25.0,3.0,30.0,0.0,0.0,175,10,3.5,17.5,140,4,2.8,35.0
