striker,bowling_team,runs_scored,balls_faced,dismissals,strike_rate,average
A Athanaze,India,60,80,3,75.0,20.0
A Athanaze,United Arab Emirates,65,48,1,135.41666666666669,65.0
A Bagai,Australia,39,57,1,68.42105263157895,39.0
A Bagai,Bangladesh,7,25,2,28.000000000000004,3.5
A Bagai,Bermuda,87,150,3,57.99999999999999,29.0
A Bagai,England,6,11,1,54.54545454545454,6.0
A Bagai,Ireland,85,129,2,65.89147286821705,42.5
A Bagai,Kenya,81,119,2,68.0672268907563,40.5
A Bagai,Netherlands,26,68,2,38.23529411764706,13.0
A Bagai,New Zealand,122,155,3,78.70967741935485,40.666666666666664
A Bagai,Pakistan,16,35,1,45.714285714285715,16.0
A Bagai,Scotland,87,125,1,69.6,87.0
A Bagai,South Africa,28,37,0,75.67567567567568,
A Bagai,Sri Lanka,28,74,2,37.83783783783784,14.0
A Bagai,West Indies,2,9,1,22.22222222222222,2.0
A Bagai,Zimbabwe,0,1,1,0.0,0.0
A Balbirnie,Afghanistan,588,786,20,74.80916030534351,29.4
A Balbirnie,Australia,12,12,1,100.0,12.0
A Balbirnie,Bangladesh,143,221,7,64.70588235294117,20.428571428571427
A Balbirnie,Canada,17,33,1,51.515151515151516,17.0
A Balbirnie,England,211,275,9,76.72727272727272,23.444444444444443
A Balbirnie,India,24,25,1,96.0,24.0
A Balbirnie,Nepal,1,6,1,16.666666666666664,1.0
A Balbirnie,Netherlands,80,166,2,48.19277108433735,40.0
A Balbirnie,New Zealand,47,86,5,54.65116279069767,9.4
A Balbirnie,Oman,7,19,1,36.84210526315789,7.0
A Balbirnie,Pakistan,18,36,1,50.0,18.0
A Balbirnie,Papua New Guinea,7,25,1,28.000000000000004,7.0
A Balbirnie,Scotland,299,434,8,68.89400921658986,37.375
A Balbirnie,South Africa,232,285,4,81.40350877192982,58.0
A Balbirnie,Sri Lanka,12,13,1,92.3076923076923,12.0
A Balbirnie,United Arab Emirates,323,400,8,80.75,40.375
A Balbirnie,United States of America,45,58,0,77.58620689655173,
A Balbirnie,West Indies,350,410,8,85.36585365853658,43.75
A Balbirnie,Zimbabwe,462,565,11,81.76991150442477,42.0
A Bohara,Oman,8,8,0,100.0,
A Bohara,United States of America,5,6,0,83.33333333333334,
A Codrington,Bangladesh,16,33,1,48.484848484848484,16.0
A Codrington,Kenya,10,14,2,71.42857142857143,5.0
A Codrington,New Zealand,7,22,1,31.818181818181817,7.0
A Codrington,Sri Lanka,0,9,1,0.0,0.0
A Codrington,West Indies,0,1,1,0.0,0.0
A Dananjaya,Afghanistan,2,10,1,20.0,2.0
A Dananjaya,Bangladesh,31,34,3,91.17647058823529,10.333333333333334
A Dananjaya,England,57,41,1,139.02439024390242,57.0
A Dananjaya,India,43,68,5,63.23529411764706,8.6
A Dananjaya,Pakistan,70,115,3,60.86956521739131,23.333333333333332
A Dananjaya,South Africa,73,113,6,64.60176991150442,12.166666666666666
A Dananjaya,Zimbabwe,15,40,2,37.5,7.5
A Dutt,Afghanistan,4,9,0,44.44444444444444,
A Dutt,England,0,8,2,0.0,0.0
A Dutt,New Zealand,17,40,2,42.5,8.5
A Dutt,Pakistan,12,16,2,75.0,6.0
A Dutt,Scotland,9,21,1,42.857142857142854,9.0
A Dutt,South Africa,16,27,1,59.25925925925925,16.0
A Dutt,Sri Lanka,7,27,2,25.925925925925924,3.5
A Dutt,West Indies,20,19,2,105.26315789473684,10.0
A Dutt,Zimbabwe,15,15,1,100.0,15.0
A Flintoff,Australia,375,510,15,73.52941176470588,25.0
A Flintoff,Bangladesh,222,193,2,115.0259067357513,111.0
A Flintoff,India,386,411,13,93.91727493917274,29.692307692307693
A Flintoff,Ireland,43,64,1,67.1875,43.0
A Flintoff,Namibia,21,24,1,87.5,21.0
A Flintoff,Netherlands,0,2,1,0.0,0.0
A Flintoff,New Zealand,111,130,4,85.38461538461539,27.75
A Flintoff,Pakistan,242,301,5,80.39867109634552,48.4
A Flintoff,South Africa,242,235,4,102.9787234042553,60.5
A Flintoff,Sri Lanka,109,106,4,102.8301886792453,27.25
A Flintoff,West Indies,233,238,7,97.89915966386555,33.285714285714285
A Flintoff,Zimbabwe,112,152,3,73.68421052631578,37.333333333333336
A Flower,Australia,62,92,2,67.3913043478261,31.0
A Flower,India,22,58,1,37.93103448275862,22.0
A Flower,Kenya,63,102,2,61.76470588235294,31.5
A Flower,Namibia,39,29,1,134.48275862068965,39.0
A Flower,Netherlands,71,73,1,97.26027397260275,71.0
A Flower,New Zealand,37,67,1,55.223880597014926,37.0
A Flower,Sri Lanka,38,51,1,74.50980392156863,38.0
A Johnson,Namibia,15,13,1,115.38461538461537,15.0
A Johnson,Papua New Guinea,53,49,1,108.16326530612245,53.0
A Johnson,United Arab Emirates,4,4,1,100.0,4.0
A Johnson,United States of America,47,52,1,90.38461538461539,47.0
