striker,venue,runs_scored,balls_faced,dismissals,strike_rate,average
A Athanaze,"Brian Lara Stadium, Tarouba, Trinidad",32,52,1,61.53846153846154,32.0
A Athanaze,"Kensington Oval, Bridgetown, Barbados",28,28,2,100.0,14.0
A Athanaze,Sharjah Cricket Stadium,65,48,1,135.41666666666669,65.0
A Bagai,"Beausejour Stadium, Gros Islet",43,77,2,55.84415584415584,21.5
A Bagai,"Boland Bank Park, Paarl",6,25,1,24.0,6.0
A Bagai,"Buffalo Park, East London",28,37,0,75.67567567567568,
A Bagai,Feroz Shah Kotla,64,99,0,64.64646464646465,
A Bagai,Gymkhana Club Ground,7,6,1,116.66666666666667,7.0
A Bagai,Jaffery Sports Club Ground,5,5,1,100.0,5.0
A Bagai,"Kingsmead, Durban",7,25,2,28.000000000000004,3.5
A Bagai,M Chinnaswamy Stadium,39,57,1,68.42105263157895,39.0
A Bagai,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",22,49,1,44.89795918367347,22.0
A Bagai,Maple Leaf North-West Ground,8,36,2,22.22222222222222,4.0
A Bagai,"Newlands, Cape Town",12,15,1,80.0,12.0
A Bagai,R Premadasa Stadium,16,35,1,45.714285714285715,16.0
A Bagai,Sedgars Park,58,98,0,59.183673469387756,
A Bagai,"SuperSport Park, Centurion",2,9,1,22.22222222222222,2.0
A Bagai,"Toronto Cricket, Skating and Curling Club",64,88,1,72.72727272727273,64.0
A Bagai,VRA Ground,21,41,1,51.21951219512195,21.0
A Bagai,"Vidarbha Cricket Association Stadium, Jamtha",0,1,1,0.0,0.0
A Bagai,Wankhede Stadium,84,87,1,96.55172413793103,84.0
A Bagai,Willowmoore Park,127,203,3,62.5615763546798,42.333333333333336
A Bagai,"Willowmoore Park, Benoni",1,2,1,50.0,1.0
A Balbirnie,Adelaide Oval,18,36,1,50.0,18.0
A Balbirnie,Bellerive Oval,97,82,1,118.29268292682926,97.0
A Balbirnie,"Bready Cricket Club, Magheramason",101,114,1,88.59649122807018,101.0
A Balbirnie,"Brisbane Cricket Ground, Woolloongabba",30,41,1,73.17073170731707,30.0
A Balbirnie,Bulawayo Athletic Club,73,107,2,68.22429906542055,36.5
A Balbirnie,Castle Avenue,49,57,2,85.96491228070175,24.5
A Balbirnie,"Civil Service Cricket Club, Stormont",182,276,9,65.94202898550725,20.22222222222222
A Balbirnie,"Civil Service Cricket Club, Stormont, Belfast",86,107,3,80.37383177570094,28.666666666666668
A Balbirnie,County Ground,30,38,1,78.94736842105263,30.0
A Balbirnie,"County Ground, Chelmsford",100,145,3,68.96551724137932,33.333333333333336
A Balbirnie,Dubai International Cricket Stadium,37,50,2,74.0,18.5
A Balbirnie,Greater Noida Sports Complex Ground,125,146,3,85.61643835616438,41.666666666666664
A Balbirnie,Harare Sports Club,296,471,8,62.84501061571125,37.0
A Balbirnie,ICC Academy,216,240,4,90.0,54.0
A Balbirnie,ICC Global Cricket Academy,62,74,1,83.78378378378379,62.0
A Balbirnie,"Kensington Oval, Barbados",26,24,2,108.33333333333333,13.0
A Balbirnie,Lord's,2,9,1,22.22222222222222,2.0
A Balbirnie,Malahide,48,82,3,58.536585365853654,16.0
A Balbirnie,Manuka Oval,58,72,1,80.55555555555556,58.0
A Balbirnie,"National Cricket Stadium, Grenada",71,93,1,76.34408602150538,71.0
A Balbirnie,Old Hararians,7,4,1,175.0,7.0
A Balbirnie,"Queens Sports Club, Bulawayo",12,14,2,85.71428571428571,6.0
A Balbirnie,"Rajiv Gandhi International Cricket Stadium, Dehradun",215,250,3,86.0,71.66666666666667
A Balbirnie,"Sabina Park, Kingston, Jamaica",71,95,1,74.73684210526315,71.0
A Balbirnie,Saxton Oval,9,10,1,90.0,9.0
A Balbirnie,Seddon Park,24,25,1,96.0,24.0
A Balbirnie,Sharjah Cricket Stadium,39,55,3,70.9090909090909,13.0
A Balbirnie,Sheikh Zayed Stadium,81,111,5,72.97297297297297,16.2
A Balbirnie,"Sportpark Maarschalkerweerd, Utrecht",80,166,2,48.19277108433735,40.0
A Balbirnie,Sylhet International Cricket Stadium,11,31,2,35.483870967741936,5.5
A Balbirnie,"Takashinga Sports Club, Highfield, Harare",46,64,1,71.875,46.0
A Balbirnie,The Rose Bowl,131,148,4,88.51351351351352,32.75
A Balbirnie,"The Village, Malahide",229,330,6,69.39393939393939,38.166666666666664
A Balbirnie,"The Village, Malahide, Dublin",185,241,6,76.76348547717843,30.833333333333332
A Balbirnie,"Trent Bridge, Nottingham",14,14,1,100.0,14.0
A Balbirnie,VRA Ground,17,33,1,51.515151515151516,17.0
A Bohara,Tribhuvan University International Cricket Ground,13,14,0,92.85714285714286,
A Codrington,"Boland Bank Park, Paarl",0,9,1,0.0,0.0
A Codrington,Jaffery Sports Club Ground,5,7,1,71.42857142857143,5.0
A Codrington,"Kingsmead, Durban",16,33,1,48.484848484848484,16.0
A Codrington,"Newlands, Cape Town",5,7,1,71.42857142857143,5.0
A Codrington,"SuperSport Park, Centurion",0,1,1,0.0,0.0
A Codrington,"Willowmoore Park, Benoni",7,22,1,31.818181818181817,7.0
A Dananjaya,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,4,1,25.0,1.0
A Dananjaya,Dubai International Cricket Stadium,50,72,0,69.44444444444444,
A Dananjaya,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",7,20,1,35.0,7.0
A Dananjaya,Newlands,3,4,1,75.0,3.0
A Dananjaya,Pallekele International Cricket Stadium,88,92,4,95.65217391304348,22.0
A Dananjaya,"Punjab Cricket Association IS Bindra Stadium, Mohali",11,17,1,64.70588235294117,11.0
A Dananjaya,"R Premadasa Stadium, Colombo",8,6,1,133.33333333333331,8.0
A Dananjaya,"R.Premadasa Stadium, Khettarama",38,42,2,90.47619047619048,19.0
A Dananjaya,Rangiri Dambulla International Stadium,20,42,2,47.61904761904761,10.0
A Dananjaya,Sharjah Cricket Stadium,18,39,1,46.15384615384615,18.0
A Dananjaya,Sheikh Zayed Stadium,4,14,3,28.57142857142857,1.3333333333333333
A Dananjaya,"Shere Bangla National Stadium, Mirpur",39,53,3,73.58490566037736,13.0
A Dananjaya,SuperSport Park,4,16,1,25.0,4.0
A Dutt,Harare Sports Club,15,17,2,88.23529411764706,7.5
A Dutt,"Hazelaarweg, Rotterdam",21,37,3,56.75675675675676,7.0
A Dutt,"Queens Sports Club, Bulawayo",7,25,1,28.000000000000004,7.0
A Dutt,"Seddon Park, Hamilton",17,40,2,42.5,8.5
A Dutt,"Takashinga Sports Club, Highfield, Harare",16,10,1,160.0,16.0
A Dutt,"The Wanderers Stadium, Johannesburg",4,9,0,44.44444444444444,
A Dutt,"VRA Ground, Amstelveen",4,17,3,23.52941176470588,1.3333333333333333
A Dutt,"West End Park International Cricket Stadium, Doha",4,9,0,44.44444444444444,
A Dutt,"Willowmoore Park, Benoni",12,18,1,66.66666666666666,12.0
A Flintoff,Adelaide Oval,25,45,2,55.55555555555556,12.5
A Flintoff,"Bangabandhu National Stadium, Dhaka",122,89,0,137.07865168539325,
A Flintoff,Barabati Stadium,0,3,1,0.0,0.0
A Flintoff,"Beausejour Stadium, Gros Islet",3,7,2,42.857142857142854,1.5
A Flintoff,Bellerive Oval,72,75,0,96.0,
A Flintoff,"Brisbane Cricket Ground, Woolloongabba",44,54,2,81.48148148148148,22.0
A Flintoff,"Buffalo Park, East London",0,2,1,0.0,0.0
A Flintoff,County Ground,9,7,1,128.57142857142858,9.0
A Flintoff,Daren Sammy National Cricket Stadium,43,48,1,89.58333333333334,43.0
A Flintoff,Docklands Stadium,63,78,2,80.76923076923077,31.5
A Flintoff,Edgbaston,22,17,2,129.41176470588235,11.0
A Flintoff,Feroz Shah Kotla,41,37,1,110.8108108108108,41.0
A Flintoff,Gaddafi Stadium,72,65,0,110.76923076923077,
A Flintoff,Green Park,26,46,1,56.52173913043478,26.0
A Flintoff,Headingley,121,118,2,102.54237288135593,60.5
A Flintoff,"Headingley, Leeds",6,12,1,50.0,6.0
A Flintoff,Kennington Oval,185,194,3,95.36082474226805,61.666666666666664
A Flintoff,"Kennington Oval, London",58,35,1,165.71428571428572,58.0
A Flintoff,"Kensington Oval, Bridgetown",43,60,4,71.66666666666667,10.75
A Flintoff,"Kingsmead, Durban",64,74,1,86.48648648648648,64.0
A Flintoff,Lord's,162,127,2,127.55905511811024,81.0
A Flintoff,"Lord's, London",10,27,1,37.03703703703704,10.0
A Flintoff,M Chinnaswamy Stadium,41,30,1,136.66666666666666,41.0
A Flintoff,"MA Aziz Stadium, Chittagong",55,52,0,105.76923076923077,
A Flintoff,Madhavrao Scindia Cricket Ground,4,3,1,133.33333333333331,4.0
A Flintoff,Maharani Usharaje Trust Cricket Ground,43,35,1,122.85714285714286,43.0
A Flintoff,Melbourne Cricket Ground,98,93,2,105.3763440860215,49.0
A Flintoff,Nahar Singh Stadium,5,14,1,35.714285714285715,5.0
A Flintoff,National Stadium,36,41,1,87.8048780487805,36.0
A Flintoff,"Nehru Stadium, Fatorda",15,30,1,50.0,15.0
A Flintoff,"Newlands, Cape Town",26,38,1,68.42105263157895,26.0
A Flintoff,Old Trafford,5,8,1,62.5,5.0
A Flintoff,"Old Trafford, Manchester",51,83,2,61.44578313253012,25.5
A Flintoff,Providence Stadium,43,64,1,67.1875,43.0
A Flintoff,Rangiri Dambulla International Stadium,3,7,1,42.857142857142854,3.0
A Flintoff,Rawalpindi Cricket Stadium,39,75,1,52.0,39.0
A Flintoff,Riverside Ground,44,62,1,70.96774193548387,44.0
A Flintoff,"Sardar Patel Stadium, Motera",25,28,1,89.28571428571429,25.0
A Flintoff,Sawai Mansingh Stadium,4,22,2,18.181818181818183,2.0
A Flintoff,"Sir Vivian Richards Stadium, North Sound",6,27,2,22.22222222222222,3.0
A Flintoff,"St George's Park, Port Elizabeth",66,105,2,62.857142857142854,33.0
A Flintoff,Sydney Cricket Ground,45,60,2,75.0,22.5
A Flintoff,The Rose Bowl,104,92,2,113.04347826086956,52.0
A Flintoff,"The Royal & Sun Alliance County Ground, Bristol",47,39,0,120.51282051282051,
A Flintoff,Trent Bridge,34,23,0,147.82608695652172,
A Flintoff,"Trent Bridge, Nottingham",53,93,1,56.98924731182796,53.0
A Flintoff,Western Australia Cricket Association Ground,13,22,1,59.09090909090909,13.0
A Flower,"Buffalo Park, East London",38,51,1,74.50980392156863,38.0
A Flower,"Goodyear Park, Bloemfontein",100,169,3,59.171597633136095,33.333333333333336
A Flower,Harare Sports Club,61,87,2,70.11494252873564,30.5
A Flower,"Queens Sports Club, Bulawayo",133,165,3,80.60606060606061,44.333333333333336
A Johnson,"United Cricket Club Ground, Windhoek",53,49,1,108.16326530612245,53.0
A Johnson,"Wanderers Cricket Ground, Windhoek",66,69,3,95.65217391304348,22.0
A Kumble,"Boland Bank Park, Paarl",9,8,1,112.5,9.0
A Kumble,Lord's,5,7,1,71.42857142857143,5.0
A Kumble,"MA Chidambaram Stadium, Chepauk",3,9,0,33.33333333333333,
A Kumble,Madhavrao Scindia Cricket Ground,2,5,0,40.0,
A Kumble,Melbourne Cricket Ground,7,9,2,77.77777777777779,3.5
A Kumble,Newlands,0,3,1,0.0,0.0
A Kumble,St George's Park,2,14,1,14.285714285714285,2.0
A Kumble,SuperSport Park,25,52,2,48.07692307692308,12.5
A Kumble,"SuperSport Park, Centurion",16,39,1,41.02564102564102,16.0
A Kumble,Trent Bridge,9,22,0,40.909090909090914,
A Kumble,VRA Cricket Ground,1,2,0,50.0,
A Kumble,"Wankhede Stadium, Mumbai",6,10,1,60.0,6.0
A Kumble,"Westpac Park, Hamilton",21,71,1,29.577464788732392,21.0
A Kumble,"Westpac Stadium, Wellington",2,10,1,20.0,2.0
A Maregwede,Harare Sports Club,42,75,5,56.00000000000001,8.4
A Maregwede,Kingsmead,13,21,1,61.904761904761905,13.0
A Maregwede,Queens Sports Club,37,44,1,84.0909090909091,37.0
A Maregwede,The Wanderers Stadium,16,42,1,38.095238095238095,16.0
A Martin,Barabati Stadium,3,8,0,37.5,
A Martin,"Beausejour Stadium, Gros Islet",4,13,0,30.76923076923077,
A Martin,"Queen's Park Oval, Port of Spain",2,4,0,50.0,
A Martin,Zahur Ahmed Chowdhury Stadium,1,4,1,25.0,1.0
A McGrath,"Headingley, Leeds",15,23,0,65.21739130434783,
A McGrath,"Kennington Oval, London",0,7,1,0.0,0.0
A McGrath,Lord's,2,8,1,25.0,2.0
A McGrath,"Lord's, London",17,26,1,65.38461538461539,17.0
A McGrath,"Old Trafford, Manchester",85,177,2,48.0225988700565,42.5
A McGrath,Riverside Ground,12,38,1,31.57894736842105,12.0
A McGrath,"The Royal & Sun Alliance County Ground, Bristol",1,5,1,20.0,1.0
A McGrath,Trent Bridge,9,16,1,56.25,9.0
A McGrath,"Trent Bridge, Nottingham",14,42,1,33.33333333333333,14.0
A Mishra,Feroz Shah Kotla,1,4,1,25.0,1.0
A Mishra,Harare Sports Club,9,11,2,81.81818181818183,4.5
A Mishra,JSCA International Stadium Complex,14,17,0,82.35294117647058,
A Mishra,Nehru Stadium,5,13,1,38.46153846153847,5.0
A Mishra,"Sabina Park, Kingston",0,2,1,0.0,0.0
A Mishra,Shere Bangla National Stadium,5,18,1,27.77777777777778,5.0
A Mishra,"Sir Vivian Richards Stadium, North Sound",5,14,0,35.714285714285715,
A Mishra,Wankhede Stadium,4,8,1,50.0,4.0
A Mithun,Rangiri Dambulla International Stadium,4,17,1,23.52941176470588,4.0
